web-scraper-order,web-scraper-start-url,link,link-href,name,runtime,releaseDate,coverImg,description,genre
"1753771381-1","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Sorry, Baby","https://www.imdb.com/title/tt32843349/?ref_=chtmvm_t_100","Sorry, Baby","1h 43m","2025","https://m.media-amazon.com/images/M/MV5BMzJhZWNiMTktNjdiMi00ZTFkLTg5OTAtYzdiZjZjNDBlMmFhXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg","Something bad happened to Agnes. But life goes on - for everyone around her, at least.","[{""genre"":""Dark Comedy""},{""genre"":""Comedy""},{""genre"":""Drama""}]"
"1753771385-2","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Deep Cover","https://www.imdb.com/title/tt31121295/?ref_=chtmvm_t_99","Deep Cover","1h 39m","2025","https://m.media-amazon.com/images/M/MV5BNjQ5ZTJjZTEtZWRiOC00NGM3LTg5NGItMTkxZmJmZjg5NzA3XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Three improv actors are asked to go undercover by the police in London's criminal underworld.","[{""genre"":""Buddy Comedy""},{""genre"":""Action""},{""genre"":""Comedy""},{""genre"":""Crime""}]"
"1753771388-3","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Parasite","https://www.imdb.com/title/tt6751668/?ref_=chtmvm_t_98","Parasite","2h 12m","2019","https://m.media-amazon.com/images/M/MV5BYjk1Y2U4MjQtY2ZiNS00OWQyLWI3MmYtZWUwNmRjYWRiNWNhXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","[{""genre"":""Dark Comedy""},{""genre"":""Psychological Drama""},{""genre"":""Psychological Thriller""},{""genre"":""Tragedy""},{""genre"":""Drama""},{""genre"":""Thriller""}]"
"1753771392-4","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Home","https://www.imdb.com/title/tt17023012/?ref_=chtmvm_t_97","The Home","1h 37m","2025","https://m.media-amazon.com/images/M/MV5BZTEzZTFhODQtMDYxZi00YTdmLWIzN2UtYzMyODQxMmU2YzZmXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","Follows Max, who realizes that the residents and caretakers in the retirement home he started working at hide sinister secrets.","[{""genre"":""Horror""},{""genre"":""Thriller""}]"
"1753771399-6","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","The Substance","https://www.imdb.com/title/tt17526714/?ref_=chtmvm_t_95","The Substance","2h 21m","2024","https://m.media-amazon.com/images/M/MV5BZDQ1NGE5MGMtYzdlZC00ODExLWJlMDMtNWU4NjA5OWYwMDEwXkEyXkFqcGc@._V1_QL75_UY281_CR1,0,190,281_.jpg","A fading celebrity takes a black-market drug: a cell-replicating substance that creates a younger, better version of herself.","[{""genre"":""Body Horror""},{""genre"":""Dark Comedy""},{""genre"":""Monster Horror""},{""genre"":""Psychological Horror""},{""genre"":""Showbiz Drama""},{""genre"":""Drama""},{""genre"":""Horror""},{""genre"":""Sci-Fi""}]"
"1753771402-7","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Sovereign","https://www.imdb.com/title/tt26843513/?ref_=chtmvm_t_94","Sovereign","1h 40m","2025","https://m.media-amazon.com/images/M/MV5BYjNmZmI5YzMtMzgyZC00MTBiLWJmNDktYWNkZDM3YmZmZTIxXkEyXkFqcGc@._V1_QL75_UY281_CR3,0,190,281_.jpg","A father and son who identify as Sovereign Citizens, a group of anti-government extremists, find themselves in a standoff with a chief of police that sets off a manhunt.","[{""genre"":""Crime""},{""genre"":""Drama""},{""genre"":""Thriller""}]"
"1753771406-8","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Snow White","https://www.imdb.com/title/tt6208148/?ref_=chtmvm_t_93","Snow White","1h 49m","2025","https://m.media-amazon.com/images/M/MV5BY2UwOGUxMzEtMzEyZi00NjEwLTkxOTMtYTljOWEzYjYyMWNjXkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","A princess joins forces with seven dwarfs and a group of rebels to liberate her kingdom from her cruel stepmother the Evil Queen.","[{""genre"":""Fairy Tale""},{""genre"":""Feel-Good Romance""},{""genre"":""Adventure""},{""genre"":""Family""},{""genre"":""Fantasy""},{""genre"":""Musical""},{""genre"":""Romance""}]"
"1753771410-9","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Companion","https://www.imdb.com/title/tt26584495/?ref_=chtmvm_t_92","Companion","1h 37m","2025","https://m.media-amazon.com/images/M/MV5BYjkyZTA5NzAtYWU3Zi00MWM4LTgxNzAtNDQxY2JmNjMwYjk4XkEyXkFqcGc@._V1_QL75_UX190_CR0,0,190,281_.jpg","A weekend getaway with friends at a remote cabin turns into chaos after it's revealed that one of the guests is not what they seem.","[{""genre"":""Artificial Intelligence""},{""genre"":""Dark Comedy""},{""genre"":""Psychological Thriller""},{""genre"":""Sci-Fi""},{""genre"":""Thriller""}]"
"1753771414-10","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Back to the Future","https://www.imdb.com/title/tt0088763/?ref_=chtmvm_t_91","Back to the Future","1h 56m","1985","https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_QL75_UX190_CR0,7,190,281_.jpg","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","[{""genre"":""High-Concept Comedy""},{""genre"":""Teen Adventure""},{""genre"":""Teen Comedy""},{""genre"":""Time Travel""},{""genre"":""Urban Adventure""},{""genre"":""Adventure""},{""genre"":""Comedy""},{""genre"":""Sci-Fi""}]"
"1753771417-11","https://www.imdb.com/chart/moviemeter/?ref_=chtbo_nv_menu","Captain America: Brave New World","https://www.imdb.com/title/tt14513804/?ref_=chtmvm_t_90","Captain America: Brave New World","1h 58m","2025","https://m.media-amazon.com/images/M/MV5BNDRjY2E0ZmEtN2QwNi00NTEwLWI3MWItODNkMGYwYWFjNGE0XkEyXkFqcGc@._V1_QL75_UX190_CR0,2,190,281_.jpg","Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan.","[{""genre"":""Action Epic""},{""genre"":""Adventure Epic""},{""genre"":""Sci-Fi Epic""},{""genre"":""Superhero""},{""genre"":""Action""},{""genre"":""Adventure""},{""genre"":""Sci-Fi""}]"
